topic-id,proportion,eff-no-words
13,0.057541,1494.674234
19,0.050164,2632.209490
2,0.045012,1886.425475
28,0.043777,1898.357922
17,0.043479,1191.765743
27,0.043163,2015.725951
25,0.040816,2838.352706
24,0.035788,2786.595068
4,0.034996,2169.610082
8,0.034876,2545.140401
11,0.034653,1829.863578
21,0.033892,1648.659878
7,0.033648,1080.153819
16,0.033397,2549.135755
6,0.033198,3084.133255
10,0.032452,2333.020765
12,0.032094,6760.794776
23,0.031699,4301.674653
18,0.031169,4034.638032
3,0.031041,3103.569864
14,0.030127,3890.454690
1,0.029987,1324.542727
30,0.028890,4402.909529
29,0.027452,1456.485608
22,0.025284,3032.879473
15,0.025195,1977.172354
20,0.024536,4505.146842
9,0.019375,3009.519059
26,0.017912,906.376696
5,0.014386,2583.904757
